Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common name	Organism Seen?	Notes	Media File Name/Media URL
1	Spectrogram 1	1	0.396464152	1.157675324	1074.169	1994.885	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
2	Spectrogram 1	1	6.470294964	7.199789004	1012.788	1964.194	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
3	Spectrogram 1	1	8.998587486	9.783586508	1043.478	2117.647	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
4	Spectrogram 1	1	11.607321608	12.384391346	1012.788	2240.409	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
5	Spectrogram 1	1	14.112975050	14.890044788	1104.859	2179.028	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
6	Spectrogram 1	1	16.380750000	17.189536871	1043.478	2271.100	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
7	Spectrogram 1	1	18.542151441	19.327150463	1012.788	2240.409	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
8	Spectrogram 1	1	20.532401485	21.349117639	1074.169	2179.028	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
9	Spectrogram 1	1	22.379924435	23.236287003	1166.240	2271.100	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
10	Spectrogram 1	1	24.092649572	24.941082858	1166.240	2485.934	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
11	Spectrogram 1	1	25.774147681	26.638439533	1135.550	2455.243	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
12	Spectrogram 1	1	27.391721422	28.287730406	1196.931	2608.696	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
13	Spectrogram 1	1	29.033083012	29.921162713	1289.003	2608.696	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
14	Spectrogram 1	1	2.814895481	3.710904464	1605.910	15928.891	Indian pitta	Yes	Call	250515_1424_1_Common hawk-cuckoo + Pitta.wav
15	Spectrogram 1	1	9.167490697	10.071428964	1692.716	14062.564	Indian pitta	Yes	Call	250515_1424_1_Common hawk-cuckoo + Pitta.wav
16	Spectrogram 1	1	14.511827469	15.455412151	1692.716	15538.265	Indian pitta	Yes	Call	250515_1424_1_Common hawk-cuckoo + Pitta.wav
17	Spectrogram 1	1	20.082821465	20.891608335	1692.716	16102.503	Indian pitta	Yes	Call	250515_1424_1_Common hawk-cuckoo + Pitta.wav
18	Spectrogram 1	1	25.894985936	26.656183714	1692.716	15972.294	Indian pitta	Yes	Call	250515_1424_1_Common hawk-cuckoo + Pitta.wav
19	Spectrogram 1	1	37.033201007	37.865775727	1822.925	16145.906	Indian pitta	Yes	Call	250515_1424_1_Common hawk-cuckoo + Pitta.wav
20	Spectrogram 1	1	45.472710695	46.305285415	1779.522	16276.115	Indian pitta	Yes	Call	250515_1424_1_Common hawk-cuckoo + Pitta.wav
21	Spectrogram 1	1	34.256699894	35.033769632	752.158	2209.464	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
22	Spectrogram 1	1	36.453111297	37.261898167	1034.217	2303.484	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
23	Spectrogram 1	1	39.069774701	39.862703006	1034.217	2209.464	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
24	Spectrogram 1	1	40.949014783	41.773660219	1128.237	2538.533	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
25	Spectrogram 1	1	42.686262924	43.510908361	1128.237	2491.523	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
26	Spectrogram 1	1	44.422775911	45.247421348	940.197	2585.543	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
27	Spectrogram 1	1	46.079996067	46.904641504	1034.217	2585.543	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
28	Spectrogram 1	1	47.642064827	48.506356679	1175.247	2773.582	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
29	Spectrogram 1	1	49.338931398	50.131859703	1269.266	2679.563	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
30	Spectrogram 1	1	54.889911311	55.627334634	846.178	2162.454	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
31	Spectrogram 1	1	57.807887471	58.569098644	940.197	2256.474	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
32	Spectrogram 1	1	60.123238120	60.852732160	987.207	2256.474	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
33	Spectrogram 1	1	62.350719694	63.246728678	893.188	2397.503	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
34	Spectrogram 1	1	65.118039476	65.966472762	987.207	2350.493	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
35	Spectrogram 1	1	67.314450879	68.099449901	987.207	2491.523	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
36	Spectrogram 1	1	69.607885899	70.361167788	940.197	2397.503	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
37	Spectrogram 1	1	72.129397907	72.866821230	1081.227	2256.474	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
38	Spectrogram 1	1	74.222728631	75.094949765	940.197	2491.523	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
39	Spectrogram 1	1	76.189190825	77.037624111	1269.266	2773.582	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
40	Spectrogram 1	1	78.317366332	79.142011768	940.197	2444.513	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
41	Spectrogram 1	1	80.149030715	80.981605434	1034.217	2679.563	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
42	Spectrogram 1	1	81.830038720	82.726047704	1034.217	2538.533	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
43	Spectrogram 1	1	83.645844537	84.518065672	1128.237	2632.553	Common-hawk cuckoo	Yes	Song	250515_1424_1_Common hawk-cuckoo + Pitta.wav
